transcript_id	gene_id	filepath
ENST00000598846.1	ENSG00000268575.1	chr1/ENST00000598846.1_predictions.tsv
ENST00000412228.1	ENSG00000231050.4	chr1/ENST00000412228.1_predictions.tsv
ENST00000443930.2	ENSG00000233542.3	chr1/ENST00000443930.2_predictions.tsv
ENST00000445600.2	ENSG00000226969.2	chr1/ENST00000445600.2_predictions.tsv
ENST00000606533.1	ENSG00000271806.1	chr1/ENST00000606533.1_predictions.tsv
ENST00000333854.2	ENSG00000182873.5	chr1/ENST00000333854.2_predictions.tsv
ENST00000442483.2	ENSG00000234396.3	chr1/ENST00000442483.2_predictions.tsv
ENST00000607720.1	ENSG00000272161.1	chr1/ENST00000607720.1_predictions.tsv
ENST00000607858.1	ENSG00000272420.1	chr1/ENST00000607858.1_predictions.tsv
ENST00000424657.1	ENSG00000224387.1	chr1/ENST00000424657.1_predictions.tsv
ENST00000442305.1	ENSG00000229393.1	chr1/ENST00000442305.1_predictions.tsv
ENST00000606645.4	ENSG00000272449.4	chr1/ENST00000606645.4_predictions.tsv
ENST00000416860.4	ENSG00000238164.7	chr1/ENST00000416860.4_predictions.tsv
ENST00000456687.3	ENSG00000225931.3	chr1/ENST00000456687.3_predictions.tsv
ENST00000424215.2	ENSG00000228037.2	chr1/ENST00000424215.2_predictions.tsv
ENST00000427302.2	ENSG00000237058.2	chr1/ENST00000427302.2_predictions.tsv
ENST00000457440.1	ENSG00000233234.1	chr1/ENST00000457440.1_predictions.tsv
ENST00000429389.1	ENSG00000231630.1	chr1/ENST00000429389.1_predictions.tsv
ENST00000321399.8	ENSG00000177133.15	chr1/ENST00000321399.8_predictions.tsv
ENST00000440516.1	ENSG00000226286.1	chr1/ENST00000440516.1_predictions.tsv
ENST00000624175.1	ENSG00000279839.1	chr1/ENST00000624175.1_predictions.tsv
ENST00000607061.1	ENSG00000272235.1	chr1/ENST00000607061.1_predictions.tsv
ENST00000606489.1	ENSG00000272088.1	chr1/ENST00000606489.1_predictions.tsv
ENST00000435049.3	ENSG00000238260.4	chr1/ENST00000435049.3_predictions.tsv
ENST00000443034.1	ENSG00000227589.1	chr1/ENST00000443034.1_predictions.tsv
ENST00000416554.1	ENSG00000235131.1	chr1/ENST00000416554.1_predictions.tsv
ENST00000607459.1	ENSG00000272153.1	chr1/ENST00000607459.1_predictions.tsv
ENST00000439488.2	ENSG00000236423.9	chr1/ENST00000439488.2_predictions.tsv
ENST00000412674.1	ENSG00000233304.8	chr1/ENST00000412674.1_predictions.tsv
ENST00000425194.2	ENSG00000226374.4	chr1/ENST00000425194.2_predictions.tsv
ENST00000423197.2	ENSG00000235054.5	chr1/ENST00000423197.2_predictions.tsv
ENST00000438791.2	ENSG00000227169.2	chr1/ENST00000438791.2_predictions.tsv
ENST00000420522.1	ENSG00000232596.3	chr1/ENST00000420522.1_predictions.tsv
ENST00000443270.1	ENSG00000231510.1	chr1/ENST00000443270.1_predictions.tsv
ENST00000564261.1	ENSG00000260972.1	chr1/ENST00000564261.1_predictions.tsv
ENST00000455744.2	ENSG00000226944.2	chr1/ENST00000455744.2_predictions.tsv
ENST00000429480.3	ENSG00000225077.4	chr1/ENST00000429480.3_predictions.tsv
ENST00000607670.1	ENSG00000271746.1	chr1/ENST00000607670.1_predictions.tsv
ENST00000419034.1	ENSG00000231868.1	chr1/ENST00000419034.1_predictions.tsv
ENST00000432429.5	ENSG00000228750.8	chr1/ENST00000432429.5_predictions.tsv
ENST00000442889.1	ENSG00000237436.2	chr1/ENST00000442889.1_predictions.tsv
ENST00000456701.1	ENSG00000237365.1	chr1/ENST00000456701.1_predictions.tsv
ENST00000427317.1	ENSG00000237402.2	chr1/ENST00000427317.1_predictions.tsv
ENST00000618051.2	ENSG00000237728.3	chr1/ENST00000618051.2_predictions.tsv
ENST00000440032.2	ENSG00000225126.2	chr1/ENST00000440032.2_predictions.tsv
ENST00000602640.1	ENSG00000270171.1	chr1/ENST00000602640.1_predictions.tsv
ENST00000602973.1	ENSG00000270035.1	chr1/ENST00000602973.1_predictions.tsv
ENST00000602916.2	ENSG00000269978.2	chr1/ENST00000602916.2_predictions.tsv
ENST00000602406.1	ENSG00000269925.1	chr1/ENST00000602406.1_predictions.tsv
ENST00000451646.1	ENSG00000236266.2	chr1/ENST00000451646.1_predictions.tsv
ENST00000445300.2	ENSG00000238290.2	chr1/ENST00000445300.2_predictions.tsv
ENST00000452982.2	ENSG00000227634.4	chr1/ENST00000452982.2_predictions.tsv
ENST00000424689.1	ENSG00000233645.1	chr1/ENST00000424689.1_predictions.tsv
ENST00000444276.1	ENSG00000232912.6	chr1/ENST00000444276.1_predictions.tsv
ENST00000433876.2	ENSG00000228423.2	chr1/ENST00000433876.2_predictions.tsv
ENST00000442636.2	ENSG00000230679.2	chr1/ENST00000442636.2_predictions.tsv
ENST00000437157.4	ENSG00000228526.9	chr1/ENST00000437157.4_predictions.tsv
ENST00000412639.5	ENSG00000234546.6	chr1/ENST00000412639.5_predictions.tsv
ENST00000441033.2	ENSG00000235263.2	chr1/ENST00000441033.2_predictions.tsv
ENST00000377320.3	ENSG00000179840.5	chr1/ENST00000377320.3_predictions.tsv
ENST00000415330.5	ENSG00000231789.5	chr1/ENST00000415330.5_predictions.tsv
ENST00000454104.1	ENSG00000223989.1	chr1/ENST00000454104.1_predictions.tsv
ENST00000445884.2	ENSG00000228150.2	chr1/ENST00000445884.2_predictions.tsv
ENST00000413148.1	ENSG00000241326.1	chr1/ENST00000413148.1_predictions.tsv
ENST00000607572.1	ENSG00000271989.1	chr1/ENST00000607572.1_predictions.tsv
ENST00000424487.1	ENSG00000203469.2	chr1/ENST00000424487.1_predictions.tsv
ENST00000606802.1	ENSG00000272078.1	chr1/ENST00000606802.1_predictions.tsv
ENST00000435388.4	ENSG00000230337.5	chr1/ENST00000435388.4_predictions.tsv
ENST00000445982.5	ENSG00000225602.5	chr1/ENST00000445982.5_predictions.tsv
ENST00000453135.2	ENSG00000235643.2	chr1/ENST00000453135.2_predictions.tsv
ENST00000376620.3	ENSG00000177553.6	chr1/ENST00000376620.3_predictions.tsv
ENST00000416696.1	ENSG00000229484.4	chr1/ENST00000416696.1_predictions.tsv
ENST00000438401.2	ENSG00000228338.2	chr1/ENST00000438401.2_predictions.tsv
ENST00000437631.1	ENSG00000233336.1	chr1/ENST00000437631.1_predictions.tsv
ENST00000432559.2	ENSG00000228229.2	chr1/ENST00000432559.2_predictions.tsv
ENST00000563570.1	ENSG00000259961.2	chr1/ENST00000563570.1_predictions.tsv
ENST00000441809.2	ENSG00000237445.2	chr1/ENST00000441809.2_predictions.tsv
ENST00000449215.2	ENSG00000231606.2	chr1/ENST00000449215.2_predictions.tsv
ENST00000447908.3	ENSG00000234593.4	chr1/ENST00000447908.3_predictions.tsv
ENST00000310916.6	ENSG00000175147.13	chr1/ENST00000310916.6_predictions.tsv
ENST00000428747.1	ENSG00000233485.2	chr1/ENST00000428747.1_predictions.tsv
ENST00000439788.1	ENSG00000236045.1	chr1/ENST00000439788.1_predictions.tsv
ENST00000427824.1	ENSG00000228140.3	chr1/ENST00000427824.1_predictions.tsv
ENST00000606186.1	ENSG00000272510.1	chr1/ENST00000606186.1_predictions.tsv
ENST00000428945.1	ENSG00000237301.2	chr1/ENST00000428945.1_predictions.tsv
ENST00000606262.1	ENSG00000271742.1	chr1/ENST00000606262.1_predictions.tsv
ENST00000453804.1	ENSG00000237938.5	chr1/ENST00000453804.1_predictions.tsv
ENST00000418525.3	ENSG00000224459.3	chr1/ENST00000418525.3_predictions.tsv
ENST00000317122.2	ENSG00000179743.5	chr1/ENST00000317122.2_predictions.tsv
ENST00000437156.1	ENSG00000233078.1	chr1/ENST00000437156.1_predictions.tsv
ENST00000424774.3	ENSG00000227959.3	chr1/ENST00000424774.3_predictions.tsv
ENST00000457898.1	ENSG00000226029.1	chr1/ENST00000457898.1_predictions.tsv
ENST00000452795.3	ENSG00000224174.3	chr1/ENST00000452795.3_predictions.tsv
ENST00000415386.2	ENSG00000233421.6	chr1/ENST00000415386.2_predictions.tsv
ENST00000607700.2	ENSG00000271732.2	chr1/ENST00000607700.2_predictions.tsv
ENST00000624517.2	ENSG00000279151.2	chr1/ENST00000624517.2_predictions.tsv
ENST00000422345.1	ENSG00000223643.6	chr1/ENST00000422345.1_predictions.tsv
ENST00000438002.1	ENSG00000228549.5	chr1/ENST00000438002.1_predictions.tsv
ENST00000457075.1	ENSG00000238142.5	chr1/ENST00000457075.1_predictions.tsv
ENST00000606899.2	ENSG00000272426.2	chr1/ENST00000606899.2_predictions.tsv
ENST00000446261.1	ENSG00000226526.1	chr1/ENST00000446261.1_predictions.tsv
ENST00000412427.1	ENSG00000204362.7	chr1/ENST00000412427.1_predictions.tsv
ENST00000439577.1	ENSG00000227751.1	chr1/ENST00000439577.1_predictions.tsv
ENST00000430540.1	ENSG00000236648.2	chr1/ENST00000430540.1_predictions.tsv
ENST00000569711.1	ENSG00000261781.1	chr1/ENST00000569711.1_predictions.tsv
ENST00000624418.1	ENSG00000280222.1	chr1/ENST00000624418.1_predictions.tsv
ENST00000419667.2	ENSG00000230035.3	chr1/ENST00000419667.2_predictions.tsv
ENST00000420211.1	ENSG00000225387.1	chr1/ENST00000420211.1_predictions.tsv
ENST00000606379.1	ENSG00000272084.1	chr1/ENST00000606379.1_predictions.tsv
ENST00000437898.4	ENSG00000230424.4	chr1/ENST00000437898.4_predictions.tsv
ENST00000416470.2	ENSG00000235185.2	chr1/ENST00000416470.2_predictions.tsv
ENST00000454736.2	ENSG00000235434.2	chr1/ENST00000454736.2_predictions.tsv
ENST00000417884.1	ENSG00000227066.3	chr1/ENST00000417884.1_predictions.tsv
ENST00000435552.2	ENSG00000228105.3	chr1/ENST00000435552.2_predictions.tsv
ENST00000444923.1	ENSG00000226664.1	chr1/ENST00000444923.1_predictions.tsv
ENST00000426428.5	ENSG00000236963.10	chr1/ENST00000426428.5_predictions.tsv
ENST00000421114.1	ENSG00000226487.1	chr1/ENST00000421114.1_predictions.tsv
ENST00000451424.1	ENSG00000117242.7	chr1/ENST00000451424.1_predictions.tsv
ENST00000436642.2	ENSG00000233069.2	chr1/ENST00000436642.2_predictions.tsv
ENST00000416959.1	ENSG00000236936.2	chr1/ENST00000416959.1_predictions.tsv
ENST00000449034.1	ENSG00000231105.2	chr1/ENST00000449034.1_predictions.tsv
ENST00000444647.1	ENSG00000236009.1	chr1/ENST00000444647.1_predictions.tsv
ENST00000457706.2	ENSG00000233431.2	chr1/ENST00000457706.2_predictions.tsv
ENST00000455966.2	ENSG00000228397.4	chr1/ENST00000455966.2_predictions.tsv
ENST00000416769.2	ENSG00000218510.9	chr1/ENST00000416769.2_predictions.tsv
ENST00000431803.2	ENSG00000230068.2	chr1/ENST00000431803.2_predictions.tsv
ENST00000624125.1	ENSG00000279625.1	chr1/ENST00000624125.1_predictions.tsv
ENST00000438551.1	ENSG00000237200.1	chr1/ENST00000438551.1_predictions.tsv
ENST00000419644.1	ENSG00000225952.1	chr1/ENST00000419644.1_predictions.tsv
ENST00000427154.1	ENSG00000240553.1	chr1/ENST00000427154.1_predictions.tsv
ENST00000566551.1	ENSG00000261326.5	chr1/ENST00000566551.1_predictions.tsv
ENST00000454117.2	ENSG00000249087.10	chr1/ENST00000454117.2_predictions.tsv
ENST00000605350.1	ENSG00000271420.1	chr1/ENST00000605350.1_predictions.tsv
ENST00000451217.1	ENSG00000235052.2	chr1/ENST00000451217.1_predictions.tsv
ENST00000427796.6	ENSG00000236810.9	chr1/ENST00000427796.6_predictions.tsv
ENST00000411815.3	ENSG00000232557.3	chr1/ENST00000411815.3_predictions.tsv
ENST00000439239.2	ENSG00000225315.3	chr1/ENST00000439239.2_predictions.tsv
ENST00000429191.1	ENSG00000230703.1	chr1/ENST00000429191.1_predictions.tsv
ENST00000439059.2	ENSG00000230023.3	chr1/ENST00000439059.2_predictions.tsv
ENST00000456316.1	ENSG00000229162.1	chr1/ENST00000456316.1_predictions.tsv
ENST00000568143.1	ENSG00000261025.2	chr1/ENST00000568143.1_predictions.tsv
ENST00000424084.1	ENSG00000233755.2	chr1/ENST00000424084.1_predictions.tsv
ENST00000455902.3	ENSG00000231953.3	chr1/ENST00000455902.3_predictions.tsv
ENST00000607698.1	ENSG00000272432.1	chr1/ENST00000607698.1_predictions.tsv
ENST00000436991.1	ENSG00000233478.1	chr1/ENST00000436991.1_predictions.tsv
ENST00000442055.6	ENSG00000228172.6	chr1/ENST00000442055.6_predictions.tsv
ENST00000606617.1	ENSG00000272478.1	chr1/ENST00000606617.1_predictions.tsv
ENST00000455431.1	ENSG00000236528.4	chr1/ENST00000455431.1_predictions.tsv
ENST00000423060.1	ENSG00000225891.3	chr1/ENST00000423060.1_predictions.tsv
ENST00000569378.2	ENSG00000260063.2	chr1/ENST00000569378.2_predictions.tsv
ENST00000448791.1	ENSG00000226698.1	chr1/ENST00000448791.1_predictions.tsv
ENST00000425205.1	ENSG00000224311.2	chr1/ENST00000425205.1_predictions.tsv
ENST00000492975.1	ENSG00000241169.1	chr1/ENST00000492975.1_predictions.tsv
ENST00000443579.1	ENSG00000237429.2	chr1/ENST00000443579.1_predictions.tsv
ENST00000440492.2	ENSG00000233975.3	chr1/ENST00000440492.2_predictions.tsv
ENST00000430683.1	ENSG00000225886.3	chr1/ENST00000430683.1_predictions.tsv
ENST00000602607.1	ENSG00000269971.1	chr1/ENST00000602607.1_predictions.tsv
ENST00000602843.1	ENSG00000270031.1	chr1/ENST00000602843.1_predictions.tsv
ENST00000448015.1	ENSG00000227050.1	chr1/ENST00000448015.1_predictions.tsv
ENST00000604716.1	ENSG00000270605.2	chr1/ENST00000604716.1_predictions.tsv
ENST00000605846.1	ENSG00000271398.1	chr1/ENST00000605846.1_predictions.tsv
ENST00000624273.1	ENSG00000279443.1	chr1/ENST00000624273.1_predictions.tsv
ENST00000531126.8	ENSG00000197989.16	chr1/ENST00000531126.8_predictions.tsv
ENST00000420776.2	ENSG00000229388.2	chr1/ENST00000420776.2_predictions.tsv
ENST00000602813.1	ENSG00000270103.3	chr1/ENST00000602813.1_predictions.tsv
ENST00000418471.1	ENSG00000233427.1	chr1/ENST00000418471.1_predictions.tsv
ENST00000413004.1	ENSG00000225750.1	chr1/ENST00000413004.1_predictions.tsv
ENST00000427046.1	ENSG00000237934.1	chr1/ENST00000427046.1_predictions.tsv
ENST00000417651.1	ENSG00000230523.1	chr1/ENST00000417651.1_predictions.tsv
ENST00000422638.2	ENSG00000228176.2	chr1/ENST00000422638.2_predictions.tsv
ENST00000445180.2	ENSG00000233399.2	chr1/ENST00000445180.2_predictions.tsv
ENST00000441046.1	ENSG00000233372.1	chr1/ENST00000441046.1_predictions.tsv
ENST00000427319.1	ENSG00000236335.2	chr1/ENST00000427319.1_predictions.tsv
ENST00000420354.1	ENSG00000231949.1	chr1/ENST00000420354.1_predictions.tsv
ENST00000454613.2	ENSG00000186056.12	chr1/ENST00000454613.2_predictions.tsv
ENST00000440358.1	ENSG00000229607.2	chr1/ENST00000440358.1_predictions.tsv
ENST00000438790.2	ENSG00000223382.7	chr1/ENST00000438790.2_predictions.tsv
ENST00000431202.1	ENSG00000235143.1	chr1/ENST00000431202.1_predictions.tsv
ENST00000430143.2	ENSG00000229044.2	chr1/ENST00000430143.2_predictions.tsv
ENST00000435872.2	ENSG00000229167.3	chr1/ENST00000435872.2_predictions.tsv
ENST00000445166.1	ENSG00000235790.8	chr1/ENST00000445166.1_predictions.tsv
ENST00000527035.1	ENSG00000254545.1	chr1/ENST00000527035.1_predictions.tsv
ENST00000453837.1	ENSG00000203620.3	chr1/ENST00000453837.1_predictions.tsv
ENST00000602889.1	ENSG00000269967.1	chr1/ENST00000602889.1_predictions.tsv
ENST00000447478.1	ENSG00000228634.1	chr1/ENST00000447478.1_predictions.tsv
ENST00000366152.3	ENSG00000203325.3	chr1/ENST00000366152.3_predictions.tsv
ENST00000515055.1	ENSG00000250135.1	chr1/ENST00000515055.1_predictions.tsv
ENST00000421616.1	ENSG00000224066.1	chr1/ENST00000421616.1_predictions.tsv
ENST00000448134.2	ENSG00000233775.2	chr1/ENST00000448134.2_predictions.tsv
ENST00000421619.2	ENSG00000224409.2	chr1/ENST00000421619.2_predictions.tsv
ENST00000427524.1	ENSG00000236065.3	chr1/ENST00000427524.1_predictions.tsv
ENST00000622988.1	ENSG00000278997.1	chr1/ENST00000622988.1_predictions.tsv
ENST00000624339.1	ENSG00000279179.1	chr1/ENST00000624339.1_predictions.tsv
ENST00000602618.1	ENSG00000270115.1	chr1/ENST00000602618.1_predictions.tsv
ENST00000457957.2	ENSG00000225313.6	chr1/ENST00000457957.2_predictions.tsv
ENST00000432703.2	ENSG00000233246.2	chr1/ENST00000432703.2_predictions.tsv
ENST00000425631.5	ENSG00000231163.7	chr1/ENST00000425631.5_predictions.tsv
ENST00000542839.1	ENSG00000255811.1	chr1/ENST00000542839.1_predictions.tsv
ENST00000429293.1	ENSG00000230163.1	chr1/ENST00000429293.1_predictions.tsv
ENST00000432683.1	ENSG00000227409.1	chr1/ENST00000432683.1_predictions.tsv
ENST00000444348.4	ENSG00000239636.4	chr1/ENST00000444348.4_predictions.tsv
ENST00000373226.2	ENSG00000232335.1	chr1/ENST00000373226.2_predictions.tsv
ENST00000606838.1	ENSG00000271914.1	chr1/ENST00000606838.1_predictions.tsv
ENST00000466576.2	ENSG00000271554.1	chr1/ENST00000466576.2_predictions.tsv
ENST00000451375.1	ENSG00000234481.3	chr1/ENST00000451375.1_predictions.tsv
ENST00000413901.1	ENSG00000223944.4	chr1/ENST00000413901.1_predictions.tsv
ENST00000424989.3	ENSG00000233621.4	chr1/ENST00000424989.3_predictions.tsv
ENST00000433474.1	ENSG00000233728.1	chr1/ENST00000433474.1_predictions.tsv
ENST00000419993.1	ENSG00000230955.1	chr1/ENST00000419993.1_predictions.tsv
ENST00000428151.2	ENSG00000224592.6	chr1/ENST00000428151.2_predictions.tsv
ENST00000431311.1	ENSG00000237290.2	chr1/ENST00000431311.1_predictions.tsv
ENST00000452971.2	ENSG00000238063.4	chr1/ENST00000452971.2_predictions.tsv
ENST00000622355.1	ENSG00000273637.1	chr1/ENST00000622355.1_predictions.tsv
ENST00000433671.2	ENSG00000228436.5	chr1/ENST00000433671.2_predictions.tsv
ENST00000289890.7	ENSG00000226438.1	chr1/ENST00000289890.7_predictions.tsv
ENST00000415255.3	ENSG00000228060.4	chr1/ENST00000415255.3_predictions.tsv
ENST00000424418.1	ENSG00000225903.1	chr1/ENST00000424418.1_predictions.tsv
ENST00000566366.1	ENSG00000261798.1	chr1/ENST00000566366.1_predictions.tsv
ENST00000418255.2	ENSG00000236546.2	chr1/ENST00000418255.2_predictions.tsv
ENST00000567508.3	ENSG00000259943.3	chr1/ENST00000567508.3_predictions.tsv
ENST00000565390.2	ENSG00000260920.2	chr1/ENST00000565390.2_predictions.tsv
ENST00000624658.1	ENSG00000279667.1	chr1/ENST00000624658.1_predictions.tsv
ENST00000450713.2	ENSG00000238287.2	chr1/ENST00000450713.2_predictions.tsv
ENST00000453437.1	ENSG00000227278.2	chr1/ENST00000453437.1_predictions.tsv
ENST00000437060.1	ENSG00000238186.1	chr1/ENST00000437060.1_predictions.tsv
ENST00000606277.2	ENSG00000272145.3	chr1/ENST00000606277.2_predictions.tsv
ENST00000414199.1	ENSG00000229528.1	chr1/ENST00000414199.1_predictions.tsv
ENST00000626479.1	ENSG00000281207.1	chr1/ENST00000626479.1_predictions.tsv
ENST00000425554.2	ENSG00000235358.3	chr1/ENST00000425554.2_predictions.tsv
ENST00000429109.1	ENSG00000229901.1	chr1/ENST00000429109.1_predictions.tsv
ENST00000440249.1	ENSG00000230881.1	chr1/ENST00000440249.1_predictions.tsv
ENST00000436207.2	ENSG00000227527.2	chr1/ENST00000436207.2_predictions.tsv
ENST00000414339.2	ENSG00000234917.2	chr1/ENST00000414339.2_predictions.tsv
ENST00000444563.7	ENSG00000228192.11	chr1/ENST00000444563.7_predictions.tsv
ENST00000416689.3	ENSG00000227533.8	chr1/ENST00000416689.3_predictions.tsv
ENST00000424948.3	ENSG00000234694.3	chr1/ENST00000424948.3_predictions.tsv
ENST00000436713.1	ENSG00000229431.2	chr1/ENST00000436713.1_predictions.tsv
ENST00000396885.2	ENSG00000229372.1	chr1/ENST00000396885.2_predictions.tsv
ENST00000444386.1	ENSG00000229348.1	chr1/ENST00000444386.1_predictions.tsv
ENST00000439057.6	ENSG00000236200.8	chr1/ENST00000439057.6_predictions.tsv
ENST00000437753.1	ENSG00000229444.2	chr1/ENST00000437753.1_predictions.tsv
ENST00000446167.4	ENSG00000237950.4	chr1/ENST00000446167.4_predictions.tsv
ENST00000434244.5	ENSG00000230615.9	chr1/ENST00000434244.5_predictions.tsv
ENST00000414156.1	ENSG00000233602.1	chr1/ENST00000414156.1_predictions.tsv
ENST00000440985.5	ENSG00000225721.5	chr1/ENST00000440985.5_predictions.tsv
ENST00000626198.1	ENSG00000281912.1	chr1/ENST00000626198.1_predictions.tsv
ENST00000430643.1	ENSG00000230896.1	chr1/ENST00000430643.1_predictions.tsv
ENST00000450004.1	ENSG00000226957.1	chr1/ENST00000450004.1_predictions.tsv
ENST00000452785.3	ENSG00000227857.3	chr1/ENST00000452785.3_predictions.tsv
ENST00000416581.1	ENSG00000224863.3	chr1/ENST00000416581.1_predictions.tsv
ENST00000602433.1	ENSG00000269956.3	chr1/ENST00000602433.1_predictions.tsv
ENST00000442839.5	ENSG00000228237.6	chr1/ENST00000442839.5_predictions.tsv
ENST00000444042.2	ENSG00000225506.3	chr1/ENST00000444042.2_predictions.tsv
ENST00000429328.2	ENSG00000224805.3	chr1/ENST00000429328.2_predictions.tsv
ENST00000422216.1	ENSG00000226252.1	chr1/ENST00000422216.1_predictions.tsv
ENST00000420876.1	ENSG00000225762.2	chr1/ENST00000420876.1_predictions.tsv
ENST00000445551.1	ENSG00000237424.1	chr1/ENST00000445551.1_predictions.tsv
ENST00000454285.2	ENSG00000227947.3	chr1/ENST00000454285.2_predictions.tsv
ENST00000438589.1	ENSG00000223814.1	chr1/ENST00000438589.1_predictions.tsv
ENST00000445070.1	ENSG00000225028.1	chr1/ENST00000445070.1_predictions.tsv
ENST00000456803.5	ENSG00000226133.6	chr1/ENST00000456803.5_predictions.tsv
ENST00000455238.1	ENSG00000231413.1	chr1/ENST00000455238.1_predictions.tsv
ENST00000431986.2	ENSG00000223720.2	chr1/ENST00000431986.2_predictions.tsv
ENST00000606809.1	ENSG00000272491.1	chr1/ENST00000606809.1_predictions.tsv
ENST00000456002.2	ENSG00000229846.3	chr1/ENST00000456002.2_predictions.tsv
ENST00000420071.1	ENSG00000230114.1	chr1/ENST00000420071.1_predictions.tsv
ENST00000457061.1	ENSG00000225623.1	chr1/ENST00000457061.1_predictions.tsv
ENST00000622945.1	ENSG00000279324.1	chr1/ENST00000622945.1_predictions.tsv
ENST00000442477.2	ENSG00000237337.2	chr1/ENST00000442477.2_predictions.tsv
ENST00000440897.1	ENSG00000233407.1	chr1/ENST00000440897.1_predictions.tsv
ENST00000424664.1	ENSG00000225767.2	chr1/ENST00000424664.1_predictions.tsv
ENST00000366181.2	ENSG00000203356.3	chr1/ENST00000366181.2_predictions.tsv
ENST00000422306.2	ENSG00000236434.2	chr1/ENST00000422306.2_predictions.tsv
ENST00000568425.1	ENSG00000261664.6	chr1/ENST00000568425.1_predictions.tsv
ENST00000424246.1	ENSG00000238140.1	chr1/ENST00000424246.1_predictions.tsv
ENST00000426017.2	ENSG00000227070.3	chr1/ENST00000426017.2_predictions.tsv
ENST00000586761.2	ENSG00000266993.3	chr1/ENST00000586761.2_predictions.tsv
ENST00000607338.1	ENSG00000272175.1	chr1/ENST00000607338.1_predictions.tsv
ENST00000425802.1	ENSG00000223390.1	chr1/ENST00000425802.1_predictions.tsv
ENST00000428794.1	ENSG00000228369.2	chr1/ENST00000428794.1_predictions.tsv
ENST00000606527.1	ENSG00000272100.1	chr1/ENST00000606527.1_predictions.tsv
ENST00000607321.2	ENSG00000272371.2	chr1/ENST00000607321.2_predictions.tsv
ENST00000446786.2	ENSG00000242391.2	chr1/ENST00000446786.2_predictions.tsv
ENST00000447867.1	ENSG00000232993.1	chr1/ENST00000447867.1_predictions.tsv
ENST00000439621.2	ENSG00000235563.2	chr1/ENST00000439621.2_predictions.tsv
ENST00000452466.1	ENSG00000236723.2	chr1/ENST00000452466.1_predictions.tsv
ENST00000569869.1	ENSG00000259818.1	chr1/ENST00000569869.1_predictions.tsv
ENST00000458151.3	ENSG00000226754.4	chr1/ENST00000458151.3_predictions.tsv
ENST00000432653.1	ENSG00000234578.1	chr1/ENST00000432653.1_predictions.tsv
ENST00000421637.1	ENSG00000228838.1	chr1/ENST00000421637.1_predictions.tsv
ENST00000446686.1	ENSG00000232762.1	chr1/ENST00000446686.1_predictions.tsv
